,,,,,,Score,,,,Team,,,,,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,,,,,,
Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
1,1,2024-11-04,,Manhattan,REG (Non-Conf),W,79,49,,31,70,0.443,5,23,0.217,26,47,0.553,0.479,12,17,0.706,16,35,51,13,7,9,9,17,16,59,0.271,5,27,0.185,11,32,0.344,0.314,12,15,0.8,6,25,31,8,3,2,11,15
2,2,2024-11-08,,Mount St. Mary's,REG (Non-Conf),W,86,52,,28,65,0.431,9,23,0.391,19,42,0.452,0.5,21,30,0.7,12,22,34,13,16,1,6,16,17,42,0.405,6,13,0.462,11,29,0.379,0.476,12,20,0.6,5,24,29,11,4,1,25,23
3,3,2024-11-11,,Florida A&M,REG (Non-Conf),W,84,53,,31,64,0.484,8,29,0.276,23,35,0.657,0.547,14,21,0.667,8,25,33,11,11,3,6,16,20,51,0.392,6,21,0.286,14,30,0.467,0.451,7,17,0.412,9,27,36,10,3,2,20,19
4,4,2024-11-15,,Marquette,REG (Non-Conf),L,74,78,,29,55,0.527,7,19,0.368,22,36,0.611,0.591,9,14,0.643,7,23,30,10,4,3,12,18,26,58,0.448,8,23,0.348,18,35,0.514,0.517,18,24,0.75,9,18,27,10,7,0,6,18
5,5,2024-11-19,,Canisius,REG (Non-Conf),W,108,37,,39,72,0.542,9,31,0.29,30,41,0.732,0.604,21,25,0.84,15,38,53,18,9,3,9,5,14,55,0.255,5,25,0.2,9,30,0.3,0.3,4,6,0.667,3,19,22,5,7,2,18,21
6,6,2024-11-24,N,Villanova,REG (Non-Conf),W,76,75,,28,56,0.5,6,19,0.316,22,37,0.595,0.554,14,19,0.737,14,15,29,17,3,3,13,15,29,62,0.468,9,29,0.31,20,33,0.606,0.54,8,9,0.889,13,15,28,9,9,2,8,18
7,7,2024-11-27,,Bucknell,REG (Non-Conf),W,91,67,,33,66,0.5,12,31,0.387,21,35,0.6,0.591,13,20,0.65,6,26,32,18,6,4,7,21,23,53,0.434,9,24,0.375,14,29,0.483,0.519,12,19,0.632,6,27,33,16,3,1,19,22
8,8,2024-12-01,,Alcorn State,REG (Non-Conf),W,96,58,,32,56,0.571,11,23,0.478,21,33,0.636,0.67,21,24,0.875,8,32,40,25,10,11,12,17,21,67,0.313,5,20,0.25,16,47,0.34,0.351,11,17,0.647,11,15,26,8,6,2,13,19
9,9,2024-12-04,,Ohio State,REG (Conf),W,83,59,,29,62,0.468,7,25,0.28,22,37,0.595,0.524,18,24,0.75,6,29,35,10,6,3,10,16,22,58,0.379,4,19,0.211,18,39,0.462,0.414,11,18,0.611,7,21,28,10,6,2,15,19
10,10,2024-12-08,@,Purdue,REG (Conf),L,78,83,,30,66,0.455,11,26,0.423,19,40,0.475,0.538,7,9,0.778,10,22,32,15,4,5,10,18,32,66,0.485,9,26,0.346,23,40,0.575,0.553,10,13,0.769,9,23,32,13,4,4,8,13
11,11,2024-12-17,,Saint Francis (PA),REG (Non-Conf),W,111,57,,42,68,0.618,15,26,0.577,27,42,0.643,0.728,12,17,0.706,11,31,42,25,9,4,5,9,24,59,0.407,7,23,0.304,17,36,0.472,0.466,2,3,0.667,2,15,17,15,2,1,13,14
12,12,2024-12-21,N,Syracuse,REG (Non-Conf),W,87,60,,35,73,0.479,12,27,0.444,23,46,0.5,0.562,5,6,0.833,13,27,40,26,15,3,12,10,25,58,0.431,8,16,0.5,17,42,0.405,0.5,2,2,1,6,22,28,17,5,1,20,8
13,13,2024-12-28,,Maryland Eastern Shore,REG (Non-Conf),W,81,66,,30,63,0.476,5,18,0.278,25,45,0.556,0.516,16,22,0.727,13,21,34,17,8,3,12,14,27,61,0.443,4,16,0.25,23,45,0.511,0.475,8,12,0.667,12,20,32,8,7,2,11,18
14,14,2025-01-02,@,Washington,REG (Conf),L,69,75,,26,58,0.448,2,11,0.182,24,47,0.511,0.466,15,22,0.682,5,19,24,7,7,5,11,23,26,57,0.456,5,24,0.208,21,33,0.636,0.5,18,23,0.783,10,21,31,11,7,2,12,19
15,15,2025-01-05,@,Oregon,REG (Conf),L,79,83,,28,59,0.475,9,21,0.429,19,38,0.5,0.551,14,19,0.737,9,19,28,16,7,5,10,18,29,56,0.518,12,28,0.429,17,28,0.607,0.625,13,15,0.867,6,23,29,15,5,3,8,15
16,16,2025-01-10,,UCLA,REG (Conf),W,79,61,,27,50,0.54,7,19,0.368,20,31,0.645,0.61,18,21,0.857,7,17,24,12,12,5,15,19,22,53,0.415,6,18,0.333,16,35,0.457,0.472,11,14,0.786,14,14,28,11,6,0,20,19
17,17,2025-01-13,,Minnesota,REG (Conf),W,77,71,,26,55,0.473,6,19,0.316,20,36,0.556,0.527,19,24,0.792,6,21,27,14,6,5,10,18,22,53,0.415,8,17,0.471,14,36,0.389,0.491,19,23,0.826,7,24,31,10,4,3,15,19
18,18,2025-01-16,@,Northwestern,REG (Conf),L,74,76,OT,24,63,0.381,6,20,0.3,18,43,0.419,0.429,20,22,0.909,8,25,33,12,7,3,14,15,29,60,0.483,6,19,0.316,23,41,0.561,0.533,12,19,0.632,7,22,29,17,3,7,13,18
19,19,2025-01-19,,Nebraska,REG (Conf),W,69,66,,26,58,0.448,10,25,0.4,16,33,0.485,0.534,7,12,0.583,8,22,30,15,8,8,11,13,27,58,0.466,6,16,0.375,21,42,0.5,0.517,6,11,0.545,5,24,29,15,8,2,13,14
20,20,2025-01-23,@,Illinois,REG (Conf),W,91,70,,36,72,0.5,3,12,0.25,33,60,0.55,0.521,16,23,0.696,11,26,37,18,10,4,7,19,23,61,0.377,6,28,0.214,17,33,0.515,0.426,18,24,0.75,8,28,36,13,2,4,16,22
21,21,2025-01-26,@,Indiana,REG (Conf),W,79,78,,30,61,0.492,12,24,0.5,18,37,0.486,0.59,7,9,0.778,8,22,30,14,4,5,10,17,31,64,0.484,7,17,0.412,24,47,0.511,0.539,9,15,0.6,12,18,30,15,5,2,7,11
22,22,2025-01-29,,Wisconsin,REG (Conf),W,76,68,,24,60,0.4,12,24,0.5,12,36,0.333,0.5,16,21,0.762,9,28,37,13,4,4,7,18,22,59,0.373,9,27,0.333,13,32,0.406,0.449,15,21,0.714,9,25,34,12,2,3,9,19
23,23,2025-02-06,@,Ohio State,REG (Conf),L,70,73,,23,55,0.418,3,14,0.214,20,41,0.488,0.445,21,30,0.7,7,25,32,10,2,4,11,20,27,59,0.458,4,16,0.25,23,43,0.535,0.492,15,18,0.833,7,21,28,11,8,5,8,20
24,24,2025-02-09,,Rutgers,REG (Conf),W,90,81,,29,65,0.446,10,27,0.37,19,38,0.5,0.523,22,34,0.647,11,24,35,12,7,6,9,22,26,63,0.413,3,16,0.188,23,47,0.489,0.437,26,31,0.839,14,25,39,11,7,0,13,27
25,25,2025-02-13,@,Nebraska,REG (Conf),W,83,75,,31,53,0.585,7,15,0.467,24,38,0.632,0.651,14,18,0.778,9,25,34,15,4,2,11,13,25,58,0.431,9,25,0.36,16,33,0.485,0.509,16,17,0.941,8,14,22,13,3,2,9,15
26,26,2025-02-16,,Iowa,REG (Conf),W,101,75,,39,67,0.582,12,26,0.462,27,41,0.659,0.672,11,13,0.846,9,31,40,18,7,4,14,12,31,72,0.431,8,27,0.296,23,45,0.511,0.486,5,6,0.833,9,19,28,16,6,2,11,16
27,27,2025-02-20,,Southern California,REG (Conf),W,88,71,,31,63,0.492,8,20,0.4,23,43,0.535,0.556,18,21,0.857,8,32,40,14,8,4,9,9,29,63,0.46,7,22,0.318,22,41,0.537,0.516,6,8,0.75,2,22,24,13,7,3,9,16
28,28,2025-02-26,,Michigan State,REG (Conf),L,55,58,,15,48,0.313,4,20,0.2,11,28,0.393,0.354,21,26,0.808,3,27,30,4,7,4,11,13,22,65,0.338,4,15,0.267,18,50,0.36,0.369,10,12,0.833,12,31,43,8,6,3,10,19
29,29,2025-03-01,@,Penn State,REG (Conf),W,68,64,,25,65,0.385,7,21,0.333,18,44,0.409,0.438,11,13,0.846,8,26,34,18,13,8,8,16,23,57,0.404,6,19,0.316,17,38,0.447,0.456,12,16,0.75,7,33,40,12,4,6,16,16
30,30,2025-03-05,@,Michigan,REG (Conf),W,71,65,,24,63,0.381,9,25,0.36,15,38,0.395,0.452,14,19,0.737,9,24,33,9,12,4,8,12,27,62,0.435,7,20,0.35,20,42,0.476,0.492,4,7,0.571,9,30,39,16,4,0,16,18
31,31,2025-03-08,,Northwestern,REG (Conf),W,74,61,,22,52,0.423,7,16,0.438,15,36,0.417,0.49,23,28,0.821,12,25,37,9,8,4,17,14,20,55,0.364,4,19,0.211,16,36,0.444,0.4,17,20,0.85,6,14,20,13,5,5,11,22
Rk,Gtm,Date,,Opp,Type,Rslt,Tm,Opp,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
32,32,2025-03-14,N,Illinois,CTOURN,W,88,65,,30,71,0.423,11,23,0.478,19,48,0.396,0.5,17,24,0.708,9,21,30,19,12,5,3,17,23,63,0.365,6,27,0.222,17,36,0.472,0.413,13,18,0.722,13,29,42,12,3,8,17,18
