date,team,opponent,home_away,outcome,team_score,opponent_score,overtime,games,goals,assists,sh_att,so_g,fouls,red_cards,yellow_cards,gc,goal_app,ggs,goalie_min_plyd,ga,saves,shutouts,combined_sho,g_wins,g_loss,d_saves,corners,pk,pk_att,gwg,defensive_goals,defensive_assists,defensive_sh_att,defensive_so_g,defensive_fouls,defensive_red_cards,defensive_yellow_cards,defensive_gc,defensive_goal_app,defensive_ggs,defensive_goalie_min_plyd,defensive_ga,defensive_saves,defensive_shutouts,defensive_combined_sho,defensive_g_wins,defensive_g_loss,defensive_d_saves,defensive_corners,defensive_pk,defensive_pk_att,defensive_gwg,team_id,opponent_id
2022-08-18,A&M-Corpus Christi Islanders,Texas Southern,Away,Win,3,1,NA,1,3,3,20,7,6,0,0,0,0,0,90:00,1,2,0,0,0,0,0,11,0,0,1,1,0,10,3,4,0,0,0,0,0,90:00,3,4,0,0,0,0,0,1,1,1,0,26172,699
2022-08-21,A&M-Corpus Christi Islanders,UTRGV,Away,Win,4,3,NA,1,4,4,12,7,7,0,2,0,0,0,90:00,3,3,0,0,0,0,0,6,0,0,1,3,1,14,5,8,0,0,0,0,0,90:00,4,3,0,0,0,0,0,4,0,0,0,26172,536
2022-08-25,A&M-Corpus Christi Islanders,Texas St.,Home,Loss,1,2,NA,1,1,1,6,2,6,0,0,0,0,0,90:00,2,7,0,0,0,0,0,4,0,0,0,2,1,18,9,10,0,0,0,0,0,90:00,1,1,0,0,0,0,0,4,0,0,1,26172,670
2022-08-28,A&M-Corpus Christi Islanders,Prairie View,Home,Win,8,1,NA,1,8,9,23,9,7,0,0,0,0,0,90:00,1,1,0,0,0,0,0,7,1,1,1,1,0,7,2,9,0,1,0,0,0,90:00,8,1,0,0,0,0,0,1,0,0,0,26172,553
2022-09-04,A&M-Corpus Christi Islanders,UTRGV,Home,Loss,0,1,NA,1,0,0,12,1,11,0,3,0,0,0,90:00,1,2,0,0,0,0,0,2,0,0,0,1,0,15,3,15,0,1,0,0,0,90:00,0,1,1,0,0,0,0,2,0,0,1,26172,536
2022-09-11,A&M-Corpus Christi Islanders,Lamar University,Away,Loss,0,1,NA,1,0,0,6,2,8,0,2,0,0,0,90:00,1,7,0,0,0,0,0,6,0,0,0,1,0,15,8,8,0,0,0,0,0,90:00,0,2,1,0,0,0,0,8,1,1,1,26172,346
2022-09-16,A&M-Corpus Christi Islanders,Houston Christian,Home,Win,2,1,NA,1,2,1,10,4,7,0,0,0,0,0,90:00,1,5,0,0,0,0,0,1,1,1,1,1,0,13,6,11,0,0,0,0,0,90:00,2,2,0,0,0,0,0,3,0,0,0,26172,287
2022-09-18,A&M-Corpus Christi Islanders,UIW,Away,Win,4,1,NA,1,4,3,12,10,6,0,1,0,0,0,90:00,1,6,0,0,0,0,0,4,1,1,1,1,0,14,7,10,0,2,0,0,0,90:00,4,6,0,0,0,0,0,5,0,0,0,26172,2743
2022-09-23,A&M-Corpus Christi Islanders,Nicholls,Home,Win,3,1,NA,1,3,3,16,6,9,0,0,0,0,0,90:00,1,1,0,0,0,0,0,3,0,0,1,1,0,5,2,14,0,0,0,0,0,90:00,3,3,0,0,0,0,0,2,0,0,0,26172,483
2022-09-30,A&M-Corpus Christi Islanders,Tex. A&M-Commerce,Away,Loss,0,4,NA,1,0,0,15,5,5,0,1,0,0,0,90:00,4,5,0,0,0,0,0,8,0,0,0,4,4,20,9,14,0,2,0,0,0,90:00,0,5,1,0,0,0,0,7,0,0,1,26172,199
2022-10-02,A&M-Corpus Christi Islanders,UIW,Home,Win,2,0,NA,1,2,2,12,8,12,0,0,0,0,0,90:00,0,2,1,1,0,0,0,6,1,2,1,0,0,10,2,13,0,2,0,0,0,90:00,2,6,0,0,0,0,0,4,0,0,0,26172,2743
2022-10-07,A&M-Corpus Christi Islanders,McNeese,Home,Draw,1,1,NA,1,1,0,13,5,14,0,1,0,0,0,90:00,1,0,0,0,0,0,0,7,1,1,0,1,1,2,1,15,0,3,0,0,0,90:00,1,4,0,0,0,0,0,1,0,0,0,26172,402
2022-10-14,A&M-Corpus Christi Islanders,Southeastern La.,Away,Loss,1,2,NA,1,1,1,11,7,15,0,0,0,0,0,90:00,2,4,0,0,0,0,0,1,0,0,0,2,2,7,6,12,0,0,0,0,0,90:00,1,6,0,0,0,0,0,8,0,0,1,26172,655
2022-10-16,A&M-Corpus Christi Islanders,Nicholls,Away,Win,4,0,NA,1,4,2,28,17,8,0,2,0,0,0,90:00,0,2,1,0,0,0,0,7,0,0,1,0,0,4,2,8,0,2,0,0,0,90:00,4,13,0,0,0,0,0,0,0,0,0,26172,483
2022-10-21,A&M-Corpus Christi Islanders,Northwestern St.,Home,Loss,1,2,NA,1,1,0,5,3,10,0,1,0,0,0,90:00,2,7,0,0,0,0,0,2,0,0,0,2,0,15,9,13,0,0,0,0,0,90:00,1,2,0,0,0,0,0,10,0,0,1,26172,508
